Injury Severity,Investigation Type,Country,Amateur Built,Aircraft Category,Airport Code,Aircraft Damage,Make,Broad Phase of Flight,Purpose of Flight,FAR Description,Weather Condition,Year,Month,Weekday,State
Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Business,Part 91,VMC,2019,10,2, TX
Fatal,Accident,United States,No,Helicopter,NonAirport,Destroyed,Other,MANEUVERING,Business,Part 91,VMC,2019,10,2, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Minor,Air Tractor,MANEUVERING,Aerial Application,Part 137,VMC,2019,10,1, TX
Fatal,Accident,United States,No,Airplane,AXX,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,10,6, NM
Fatal,Accident,United States,No,Airplane,RDU,Destroyed,Air Tractor,APPROACH,Personal,Part 91,VMC,2019,10,6, NC
Fatal,Accident,United States,Yes,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,2019,10,6, AL
Non-Fatal,Accident,United States,No,Airplane,MNV,Substantial,Air Tractor,GO-AROUND,Personal,Part 91,VMC,2019,10,4, TN
Fatal,Accident,United States,No,Glider,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2019,10,4, PA
Fatal,Accident,United States,No,Airplane,WI78,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,10,3, WI
Fatal,Accident,United States,No,Airplane,84NC,Substantial,Other,APPROACH,Personal,Part 91,VMC,2019,10,0, NC
Non-Fatal,Accident,United States,No,Airplane,61TE,Substantial,Air Tractor,CRUISE,Positioning,Part 91,VMC,2019,10,6, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,CRUISE,Personal,Part 91,VMC,2019,10,6, AK
Non-Fatal,Accident,United States,Yes,Gyroplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,10,5, TX
Fatal,Accident,United States,No,Airplane,ABR,Destroyed,Air Tractor,UNKNOWN,Personal,Part 91,IMC,2019,10,2, SD
Fatal,Accident,United States,Yes,Airplane,CMA,Substantial,Other,APPROACH,Personal,Part 91,VMC,2019,10,1, CA
Non-Fatal,Accident,United States,No,Airplane,UES,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,10,1, WI
Non-Fatal,Accident,United States,No,Airplane,CHS,Substantial,Other,LANDING,Executive_Corporate,Part 91,IMC,2019,10,0, SC
Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,IMC,2019,10,6, MO
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,MANEUVERING,Instructional,Part 91,VMC,2019,10,5, FL
Non-Fatal,Accident,United States,Yes,Airplane,TS67,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,10,5, TX
Fatal,Accident,United States,No,Airplane,OKK,Destroyed,Air Tractor,MANEUVERING,Business,Part 91,VMC,2019,10,5, IN
Non-Fatal,Accident,United States,No,Airplane,MDT,Substantial,Air Tractor,APPROACH,Personal,Part 91,VMC,2019,10,4, PA
Fatal,Accident,United States,No,Airplane,HBI,Destroyed,Air Tractor,APPROACH,Personal,Part 91,VMC,2019,10,4, NC
Fatal,Accident,United States,No,Airplane,LAN,Substantial,Other,APPROACH,Business,Part 91,IMC,2019,10,3, MI
Fatal,Accident,United States,No,Airplane,BDL,Destroyed,Air Tractor,LANDING,Other Work Use,Part 91,VMC,2019,10,2, CT
Fatal,Accident,United States,No,Airplane,DED,Destroyed,Air Tractor,MANEUVERING,Personal,Part 91,VMC,2019,9,6, FL
Non-Fatal,Accident,United States,No,Helicopter,SFM,Substantial,Other,TAXI,Instructional,Part 91,VMC,2019,9,5, ME
Fatal,Accident,United States,Yes,Weight-Shift,GA72,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2019,9,5, GA
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,LANDING,Aerial Observation,Part 91,VMC,2019,9,5, PA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,MANEUVERING,Aerial Application,Part 137,VMC,2019,9,4, MS
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CLIMB,Personal,Part 91,VMC,2019,9,3, NM
Non-Fatal,Accident,United States,No,Airplane,LND,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,9,3, WY
Non-Fatal,Accident,United States,Yes,Airplane,M17,Substantial,Other,APPROACH,Personal,Part 91,VMC,2019,9,2, MO
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,9,2, AK
Non-Fatal,Accident,United States,No,Airplane,SGJ,Substantial,Air Tractor,TAKEOFF,Instructional,Part 91,VMC,2019,9,1, FL
Non-Fatal,Accident,United States,No,Airplane,47N,Substantial,Air Tractor,APPROACH,Instructional,Part 91,VMC,2019,9,1, NJ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,DESCENT,Instructional,Part 91,VMC,2019,9,0, OR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,9,0, AK
Non-Fatal,Accident,United States,No,Airplane,K50,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,9,0, KS
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,CRUISE,Personal,Part 91,VMC,2019,9,0, AR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,9,6, AK
Non-Fatal,Accident,United States,No,Airplane,SEZ,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,4, AZ
Non-Fatal,Accident,United States,No,Airplane,26MA,Substantial,Air Tractor,APPROACH,Skydiving,Part 91,VMC,2019,9,4, MA
Non-Fatal,Accident,United States,Yes,Airplane,LNC,Substantial,Other,GO-AROUND,Personal,Part 91,VMC,2019,9,4, TX
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Air Tractor,CRUISE,Personal,Part 91,VMC,2019,9,3, NV
Fatal,Accident,United States,No,Airplane,TOA,Substantial,Air Tractor,TAKEOFF,Aerial Observation,Part 91,VMC,2019,9,3, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,DESCENT,Personal,Part 91,VMC,2019,9,2, MS
Non-Fatal,Accident,United States,Yes,Airplane,DUC,Destroyed,Other,TAXI,Personal,Part 91,VMC,2019,9,2, OK
Non-Fatal,Accident,United States,No,Airplane,APF,Substantial,Air Tractor,LANDING,Instructional,Part 91,VMC,2019,9,1, FL
Non-Fatal,Accident,United States,No,Airplane,FME,Substantial,Other,APPROACH,Instructional,Part 91,VMC,2019,9,1, MD
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,2019,9,1, GA
Fatal,Accident,United States,Yes,Airplane,50PA,Destroyed,Other,MANEUVERING,Personal,Part 91,VMC,2019,9,1, PA
Non-Fatal,Accident,United States,No,Airplane,RTS,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,9,0, NV
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,UNK,2019,9,6, AK
Non-Fatal,Accident,United States,No,Airplane,CPK,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,9,6, VA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Air Tractor,MANEUVERING,Personal,Part 91,VMC,2019,9,6, GM
Non-Fatal,Accident,United States,No,Airplane,LCH,Substantial,Other,CRUISE,Personal,Part 91,VMC,2019,9,5, TX
Non-Fatal,Accident,United States,No,Airplane,AVQ,Substantial,Air Tractor,STANDING,Instructional,Part 91,VMC,2019,9,4, AZ
Non-Fatal,Accident,United States,No,Airplane,FWA,Substantial,Other,CRUISE,Personal,Part 91,IMC,2019,9,4, IN
Non-Fatal,Accident,United States,No,Balloon,NonAirport,Substantial,Other,LANDING,Aerial Observation,Part 91,VMC,2019,9,3, NV
Non-Fatal,Accident,United States,No,Airplane,M01,Substantial,Air Tractor,LANDING,Instructional,Part 91,VMC,2019,9,3, TN
Non-Fatal,Accident,United States,No,Airplane,TIST,Substantial,Air Tractor,TAXI,Personal,Part 91,VMC,2019,9,3, VI
Non-Fatal,Accident,United States,No,Airplane,W00,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,9,3, MD
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2019,9,3, SD
Fatal,Accident,United States,No,Powered Parachute,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2019,9,3, TX
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,CRUISE,Positioning,Part 91,VMC,2019,9,2, CA
Non-Fatal,Accident,United States,No,Airplane,SGJ,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,2, FL
Non-Fatal,Accident,United States,No,Airplane,BCT,Destroyed,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,9,2, FL
Non-Fatal,Accident,United States,No,Airplane,9K8,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,2, KS
Non-Fatal,Accident,United States,No,Airplane,COS,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,2, CO
Non-Fatal,Accident,United States,No,Airplane,A39,Substantial,Other,TAKEOFF,Instructional,Part 91,VMC,2019,9,1, AZ
Non-Fatal,Accident,United States,No,Airplane,ECP,Substantial,Air Tractor,APPROACH,Instructional,Part 91,VMC,2019,9,1, FL
Non-Fatal,Accident,United States,No,Airplane,4MD1,Substantial,Air Tractor,MANEUVERING,Aerial Application,Part 137,VMC,2019,9,6, MD
Fatal,Accident,United States,No,Airplane,MTH,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,9,6, FL
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,UNKNOWN,Aerial Observation,Part 91,VMC,2019,9,6, SD
Fatal,Accident,United States,No,Airplane,HND,Destroyed,Air Tractor,TAKEOFF,Instructional,Part 91,VMC,2019,9,5, NV
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,MANEUVERING,Personal,Part 91,VMC,2019,9,5, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,9,5, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,9,5, CA
Non-Fatal,Accident,United States,No,Airplane,6LA6,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,9,5, LA
Non-Fatal,Accident,United States,Yes,Airplane,85TE,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,9,5, TX
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,CRUISE,Personal,Part 91,VMC,2019,9,5, WY
Fatal,Accident,United States,Yes,Airplane,97FL,Destroyed,Other,APPROACH,Personal,Part 91,VMC,2019,9,4, FL
Non-Fatal,Accident,United States,No,Airplane,POH,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,4, IA
Non-Fatal,Accident,United States,No,Airplane,JWY,Substantial,Air Tractor,TAKEOFF,Instructional,Part 91,VMC,2019,9,4, TX
Non-Fatal,Accident,United States,No,Airplane,BCV,Substantial,Air Tractor,LANDING,Instructional,Part 91,VMC,2019,9,3, AK
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,MANEUVERING,Aerial Observation,Part 91,VMC,2019,9,2, UT
Non-Fatal,Accident,United States,No,Airplane,CRW,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,2, WV
Non-Fatal,Accident,United States,No,Airplane,10CO,Substantial,Other,CLIMB,Business,Part 91,VMC,2019,9,1, CO
Non-Fatal,Accident,United States,No,Airplane,AQY,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,9,1, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,DESCENT,Personal,Part 91,VMC,2019,9,0, MI
Non-Fatal,Accident,United States,No,Airplane,MCD,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,0, MI
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,MANEUVERING,Aerial Application,Part 137,VMC,2019,9,0, AL
Non-Fatal,Accident,United States,No,Airplane,TUL,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,0, OK
Non-Fatal,Accident,United States,No,Airplane,BBG,Substantial,Other,CLIMB,Personal,Part 91,VMC,2019,9,0, MO
Non-Fatal,Accident,United States,No,Airplane,3T5,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,0, TX
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,9,0, MI
Non-Fatal,Accident,United States,No,Airplane,MHT,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,9,6, NH
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,9,6, AK
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2019,9,6, AL
Non-Fatal,Accident,United States,No,Airplane,EMT,Substantial,Air Tractor,TAKEOFF,Personal,Part 91,VMC,2019,8,5, CA
Non-Fatal,Accident,United States,No,Airplane,CXO,Substantial,Air Tractor,CRUISE,Personal,Part 91,VMC,2019,8,5, TX
Non-Fatal,Accident,United States,Yes,Airplane,MAN,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,8,4, ID
Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,MANEUVERING,Personal,Part 91,VMC,2019,8,3, MT
Non-Fatal,Accident,United States,No,Airplane,ONY,Substantial,Air Tractor,TAKEOFF,Business,Part 91,VMC,2019,8,3, TX
Non-Fatal,Accident,United States,No,Airplane,TKA,Substantial,Air Tractor,LANDING,Instructional,Part 91,VMC,2019,8,3, AK
Fatal,Accident,United States,No,Airplane,00S,Destroyed,Air Tractor,GO-AROUND,Personal,Part 91,VMC,2019,8,1, OR
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Air Tractor,LANDING,Personal,Part 91,VMC,2019,8,1, AK
Non-Fatal,Accident,United States,No,Airplane,SBA,Substantial,Other,TAKEOFF,Ferry,Part 91,VMC,2019,8,6, CA
Non-Fatal,Accident,United States,No,Airplane,WJF,Substantial,Other,DESCENT,Personal,Part 91,VMC,2019,8,6, CA
Non-Fatal,Accident,United States,No,Airplane,P52,Substantial,Air Tractor,TAKEOFF,Instructional,Part 91,VMC,2019,8,6, AZ
Non-Fatal,Accident,United States,No,Airplane,GWS,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,8,6, CO
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Airborne,CRUISE,Personal,Part 91,VMC,2019,8,6, IN
Non-Fatal,Accident,United States,No,Airplane,PWA,Substantial,Airborne,TAKEOFF,Personal,Part 91,VMC,2019,8,6, OK
Non-Fatal,Accident,United States,No,Airplane,ENV,Substantial,Airborne,LANDING,Personal,Part 91,VMC,2019,8,5, UT
Non-Fatal,Accident,United States,No,Glider,1AL4,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,8,5, AL
Fatal,Accident,United States,Yes,Airplane,BPG,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2019,8,4, TX
Non-Fatal,Accident,United States,No,Airplane,HMT,Substantial,Airborne,LANDING,Instructional,Part 91,VMC,2019,8,3, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,8,3, AK
Non-Fatal,Accident,United States,No,Airplane,LVR,Substantial,Airborne,TAKEOFF,Personal,Part 91,VMC,2019,8,2, CA
Non-Fatal,Accident,United States,No,Airplane,TPA,Substantial,Airborne,LANDING,Personal,Part 91,VMC,2019,8,2, FL
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,VMC,2019,8,2, FL
Non-Fatal,Accident,United States,No,Airplane,KGPZ,Substantial,Other,APPROACH,Personal,Part 91,VMC,2019,8,2, MN
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,2019,8,1, CO
Fatal,Accident,United States,No,Airplane,KOZW,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,8,1, MI
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Airbus,MANEUVERING,Aerial Application,Part 137,VMC,2019,8,1, KS
Non-Fatal,Accident,United States,No,Airplane,SFF,Substantial,Boeing,LANDING,Personal,Part 91,VMC,2019,8,0, WA
Non-Fatal,Accident,United States,Yes,Airplane,W95,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,8,0, NC
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Boeing,TAKEOFF,Personal,Part 91,VMC,2019,8,0, NM
Non-Fatal,Accident,United States,No,Airplane,XSA,Substantial,Other,CRUISE,Personal,Part 91,VMC,2019,8,0, VA
Fatal,Accident,United States,No,Helicopter,Y51,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,2019,8,0, WI
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,8,6, AK
Fatal,Accident,United States,No,Airplane,ILG,Substantial,Boeing,TAKEOFF,Instructional,Part 91,VMC,2019,8,6, DE
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Boeing,CRUISE,Personal,Part 91,IMC,2019,8,6, LA
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,DESCENT,Personal,Part 91,VMC,2019,8,5, AL
Fatal,Accident,United States,No,Airplane,44N,Destroyed,Boeing,TAKEOFF,Business,Part 91,VMC,2019,8,5, NY
Fatal,Accident,United States,No,Airplane,NEW,Destroyed,Other,TAKEOFF,Personal,Part 91,VMC,2019,8,4, LA
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2019,8,3, CA
Non-Fatal,Accident,United States,No,Airplane,0A9,Destroyed,Other,LANDING,Business,Part 91,VMC,2019,8,3, TN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Boeing,CRUISE,Personal,Part 91,VMC,2019,8,3, TX
Fatal,Accident,United States,Yes,Airplane,AWO,Substantial,Other,UNKNOWN,Personal,Part 91,VMC,2019,8,2, WA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Other,APPROACH,Personal,Part 91,VMC,2019,8,2, NC
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Boeing,MANEUVERING,Positioning,Part 91,VMC,2019,8,1, FL
Non-Fatal,Accident,United States,No,Airplane,CHK,Substantial,Boeing,LANDING,Instructional,Part 91,VMC,2019,8,0, OK
Non-Fatal,Accident,United States,No,Airplane,LHD,Substantial,Boeing,TAKEOFF,Personal,Part 91,VMC,2019,8,0, AK
Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,CRUISE,Personal,Part 91,UNK,2019,8,6, ID
Non-Fatal,Accident,United States,No,Helicopter,ABE,Substantial,Boeing,TAKEOFF,Other Work Use,Part 91,VMC,2019,8,6, PA
Fatal,Accident,United States,Yes,Airplane,P96,Substantial,Other,MANEUVERING,Personal,Part 91,VMC,2019,8,6, PA
Non-Fatal,Accident,United States,No,Airplane,3OH0,Substantial,Boeing,TAKEOFF,Personal,Part 91,VMC,2019,8,6, OH
Non-Fatal,Accident,United States,No,Airplane,FKL,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,8,5, PA
Non-Fatal,Accident,United States,No,Airplane,TWM,Substantial,Boeing,LANDING,Personal,Part 91,VMC,2019,8,5, MN
Non-Fatal,Accident,United States,Yes,Airplane,VTA,Substantial,Other,TAKEOFF,Personal,Part 91,VMC,2019,8,5, OH
Non-Fatal,Accident,United States,No,Airplane,F36,Substantial,Boeing,TAKEOFF,Personal,Part 91,VMC,2019,8,4, OK
Non-Fatal,Accident,United States,No,Airplane,HWO,Substantial,Boeing,LANDING,Instructional,Part 91,VMC,2019,8,3, FL
Fatal,Accident,United States,No,Airplane,PNE,Destroyed,Boeing,TAKEOFF,Personal,Part 91,IMC,2019,8,3, PA
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Boeing,MANEUVERING,Positioning,Part 91,VMC,2019,8,3, IA
Fatal,Accident,United States,Yes,Airplane,CMA,Substantial,Other,APPROACH,Personal,Part 91,VMC,2019,8,2, CA
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Other,CLIMB,Personal,Part 91,VMC,2019,8,2, CO
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Boeing,APPROACH,Business,Part 91,VMC,2019,8,0, MT
Non-Fatal,Accident,United States,No,Airplane,TMB,Substantial,Boeing,TAKEOFF,Instructional,Part 91,VMC,2019,8,0, FL
Non-Fatal,Accident,United States,No,Airplane,OAK,Substantial,Boeing,LANDING,Personal,Part 91,IMC,2019,8,6, CA
Non-Fatal,Accident,United States,No,Airplane,OXB,Substantial,Boeing,LANDING,Instructional,Part 91,VMC,2019,8,6, MD
Non-Fatal,Accident,United States,No,Glider,AZ57,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,8,6, AZ
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Boeing,MANEUVERING,Aerial Application,Part 137,VMC,2019,8,6, NE
Fatal,Accident,United States,No,Airplane,NonAirport,Destroyed,Boeing,MANEUVERING,Personal,Part 91,VMC,2019,8,6, AK
Non-Fatal,Accident,United States,No,Airplane,CRG,Substantial,Boeing,TAKEOFF,Personal,Part 91,VMC,2019,8,5, FL
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,2019,8,5, NE
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Boeing,CRUISE,Personal,Part 91,VMC,2019,8,5, MI
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,2019,8,4, IL
Non-Fatal,Accident,United States,No,Airplane,DVO,Substantial,Boeing,LANDING,Business,Part 91,VMC,2019,8,3, CA
Non-Fatal,Accident,United States,No,Airplane,3AK5,Substantial,Other,LANDING,Business,Part 91,VMC,2019,7,2, AK
Non-Fatal,Accident,United States,Yes,Airplane,NonAirport,Substantial,Other,GO-AROUND,Instructional,Part 91,VMC,2019,7,1, MT
Non-Fatal,Accident,United States,No,Airplane,COQ,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,7,1, MN
Non-Fatal,Accident,United States,No,Airplane,FLY,Substantial,Boeing,LANDING,Personal,Part 91,VMC,2019,7,1, CO
Non-Fatal,Accident,United States,No,Airplane,PVF,Substantial,Boeing,LANDING,Personal,Part 91,VMC,2019,7,1, CA
Non-Fatal,Accident,United States,No,Airplane,CHA,Substantial,Boeing,TAKEOFF,Personal,Part 91,VMC,2019,7,1, TN
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Boeing,CRUISE,Instructional,Part 91,VMC,2019,7,1, AL
Non-Fatal,Accident,United States,No,Airplane,VEL,Substantial,Boeing,TAKEOFF,Instructional,Part 91,VMC,2019,7,0, UT
Non-Fatal,Accident,United States,No,Airplane,NonAirport,Substantial,Boeing,CRUISE,Personal,Part 91,VMC,2019,7,6, WI
Non-Fatal,Accident,United States,No,Helicopter,EUG,Substantial,Other,APPROACH,Other Work Use,Part 91,VMC,2019,7,5, OR
Non-Fatal,Accident,United States,No,Airplane,6K8,Substantial,Boeing,LANDING,Personal,Part 91,VMC,2019,7,5, AK
Non-Fatal,Accident,United States,No,Glider,NonAirport,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,7,5, ID
Non-Fatal,Accident,United States,No,Airplane,SRB,Substantial,Boeing,TAKEOFF,Business,Part 91,VMC,2019,7,5, TN
Non-Fatal,Accident,United States,No,Airplane,MDW,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,7,5, IL
Non-Fatal,Accident,United States,No,Airplane,ELP,Substantial,Other,APPROACH,Instructional,Part 91,VMC,2019,7,5, TX
Non-Fatal,Accident,United States,No,Helicopter,NonAirport,Substantial,Other,MANEUVERING,Aerial Application,Part 137,VMC,2019,7,5, NE
Non-Fatal,Accident,United States,No,Airplane,1WA6,Substantial,Boeing,LANDING,Personal,Part 91,VMC,2019,7,4, WA
Non-Fatal,Accident,United States,Yes,Airplane,MHE,Substantial,Other,LANDING,Personal,Part 91,VMC,2019,7,4, SD
